"Designator","Mid X","Mid Y","Layer","Rotation"
"C58","166.525mm","-115.675mm","top","90.0"
"R9","131.5725mm","-94.19mm","top","90.0"
"D6","192.36mm","-74.709998mm","top","-90.0"
"C35","156.725mm","-121.95mm","top","0.0"
"D13","173.5mm","-77.3mm","top","90.0"
"C63","167.1mm","-62.925mm","top","90.0"
"R17","194.759999mm","-78.979999mm","top","90.0"
"R21","191.639997mm","-91.630001mm","top","-90.0"
"C34","154.425mm","-118.75mm","top","90.0"
"C22","193.649999mm","-123.2mm","top","180.0"
"C84","146.9mm","-133.575001mm","top","0.0"
"Q14","179.1625mm","-91.95mm","top","0.0"
"C79","145.425mm","-143.574999mm","top","-90.0"
"D15","166.687499mm","-139.9mm","top","180.0"
"Q13","176.22mm","-77.4mm","top","180.0"
"C45","160.475mm","-115.675mm","top","-90.0"
"C19","154.3825mm","-94.15mm","top","90.0"
"D17","194.449999mm","-125.599999mm","top","90.0"
"C47","162.775mm","-121.975mm","top","0.0"
"D10","140.53mm","-92.050042mm","top","-90.0"
"P3","192.267847mm","-126.199999mm","top","0.0"
"R64","166.75mm","-137.55mm","top","-90.0"
"C18","154.3mm","-98.3mm","top","180.0"
"C5","165.349999mm","-134.25mm","top","90.0"
"JP1","147.875mm","-114mm","top","90.0"
"P6","129.45mm","-102.25mm","top","0.0"
"R63","170.525mm","-132.675mm","top","0.0"
"C85","144.025mm","-143.574999mm","top","-90.0"
"R54","167.925mm","-115.675mm","top","-90.0"
"C81","145.785mm","-135.975mm","top","90.0"
"C17","158.1mm","-123.8mm","top","0.0"
"R41","149.775mm","-114.7mm","top","90.0"
"R30","157.425mm","-115.55mm","top","-90.0"
"R58","184mm","-77.3mm","top","-90.0"
"U8","194.409998mm","-84.78mm","top","90.0"
"C39","136.3mm","-67.125mm","top","-90.0"
"P9","166.45mm","-102.149999mm","top","90.0"
"D11","152.6425mm","-77.3mm","top","90.0"
"Q1","134.7mm","-77.4mm","top","180.0"
"C52","156.8mm","-67.125mm","top","-90.0"
"SW1","131.5mm","-118.6mm","top","90.0"
"C14","125.274999mm","-139.699999mm","top","90.0"
"R29","158.825mm","-115.55mm","top","-90.0"
"C44","139.9mm","-77.3mm","top","90.0"
"C68","182.65mm","-77.3mm","top","90.0"
"R51","171.8mm","-77.2mm","top","90.0"
"R46","163.15mm","-77.3mm","top","-90.0"
"U9","156.625mm","-119.05mm","top","90.0"
"C53","156.8mm","-62.925mm","top","90.0"
"C6","164.050001mm","-134.25mm","top","90.0"
"R43","164.875mm","-115.575mm","top","-90.0"
"P13","139.225mm","-133.450001mm","top","0.0"
"C43","141.2mm","-77.3mm","top","90.0"
"R20","193.279999mm","-89.749999mm","top","90.0"
"C42","139mm","-73.5mm","top","0.0"
"C15","125.274999mm","-142.699997mm","top","-90.0"
"C65","177.35mm","-62.925mm","top","90.0"
"P1","129.455mm","-107.032152mm","top","90.0"
"R50","170.925mm","-121.475mm","top","-90.0"
"R5","181.724999mm","-119.080001mm","top","90.0"
"R56","169.525mm","-115.575mm","top","-90.0"
"R33","138.55mm","-77.3mm","top","-90.0"
"C11","150.2mm","-121.4mm","top","0.0"
"U1","178.025401mm","-117.775001mm","top","180.0"
"R22","127.2575mm","-103.775mm","top","90.0"
"C51","146.55mm","-62.925mm","top","90.0"
"R35","137.2mm","-77.3mm","top","-90.0"
"C8","135.575mm","-139.674997mm","top","90.0"
"R37","150.3mm","-99.5mm","top","-90.0"
"L1","162.225001mm","-143.8mm","top","90.0"
