Designator,Mid X,Mid Y,Rotation,Layer
R47,-44.585,-10.705,270.0,top
R48,-71.95,14.55,180.0,top
R49,-44.585,-7.705,270.0,top
R5,-22.81,-9.77,180.0,top
R50,-60.54,-10.2,180.0,top
R51,-50.48,35.345,270.0,top
R52,-38.56,20.37,270.0,top
R53,-48.2,-4.75,270.0,top
R54,-44.6,-4.75,270.0,top
R55,-45.8,-4.75,270.0,top
R56,-47.46,35.32,90.0,top
R57,-44.86,35.32,90.0,top
R58,-46.16,35.32,90.0,top
R59,-41.125,21.2,0.0,top
R6,-7.05,-11.7,0.0,top
R60,-36.41,21.12,180.0,top
R61,-37.06,18.87,90.0,top
R62,-53.51,32.426379,270.0,top
R63,-38.26,35.32,270.0,top
R64,-42.21,35.32,270.0,top
R65,-36.9475,35.32,270.0,top
R66,-43.5475,35.32,270.0,top
R67,-38.535,-10.705,270.0,top
R68,-38.535,-7.705,270.0,top
R69,-29.62,35.38,270.0,top
R7,-19.7,-8.31,180.0,top
R70,-17.76,20.37,270.0,top
R71,-42.15,-4.75,270.0,top
R72,-38.535,-4.805,270.0,top
R73,-39.75,-4.8,270.0,top
R74,-26.61,35.32,90.0,top
R75,-24.01,35.33,90.0,top
R76,-25.31,35.32,90.0,top
R77,-20.325,21.12,0.0,top
R78,-15.61,21.12,180.0,top
R79,-16.26,18.87,90.0,top
R8,-3.589999,17.8,180.0,top
R80,-32.751836,32.426379,270.0,top
R81,-17.41,35.32,270.0,top
R82,-21.36,35.32,270.0,top
R83,-16.09,35.32,270.0,top
R84,-22.69,35.32,270.0,top
R85,-63.35,-11.5,0.0,top
R86,-70.4,-22.5,180.0,top
R87,-70.65,-34.06,180.0,top
R88,-67.05,-30.01,180.0,top
R89,-67.1325,-25.2,180.0,top
R9,-4.889999,10.55,90.0,top
R90,-3.089999,-10.4,270.0,top
R91,-54.25,-4.8,270.0,top
R92,-47.0,-4.75,90.0,top
R93,-40.95,-4.75,90.0,top
R96,-42.51,-25.12,90.0,top
R97,-41.12,-25.09,90.0,top
U1,-31.085,-7.975,0.0,top
U10,-46.785,-8.305,270.0,top
U11,-40.735,-8.305,270.0,top
U12,-50.9975,-7.020003,270.0,bottom
U13,-51.005001,-28.215003,270.0,bottom
U14,-53.593627,-28.314997,0.0,top
U2,-41.8525,-28.49,90.0,top
U3,-31.436429,-30.96,180.0,top
U4,-61.08,15.269958,0.0,top
U5,-5.679999,-4.129999,270.0,top
U6,-40.39,15.27,0.0,top
U7,-19.5475,15.27,0.0,top
U8,-5.88,34.424999,90.0,top
U9,-52.835,-8.28,270.0,top
Y1,-64.0,-28.4,270.0,top
