"Designator","Mid X","Mid Y","Layer","Rotation"
"SW3","127.617165mm","-135.12mm","top","180.0"
"R19","172.6975mm","-94.15mm","top","90.0"
"C6","158.93mm","-144.32mm","top","90.0"
"R17","150.86mm","-94.42mm","top","90.0"
"R97","160.29mm","-137.71mm","top","90.0"
"R72","162.875mm","-117.425mm","top","-90.0"
"C52","158.06mm","-117.37mm","top","90.0"
"R14","131.5725mm","-94.19mm","top","90.0"
"C21","181.73mm","-122.27mm","top","180.0"
"R87","130.76mm","-146.68mm","top","180.0"
"C35","148.675mm","-123.8mm","top","180.0"
"R41","144.31mm","-92.92mm","top","180.0"
"R22","197.074999mm","-73.5375mm","top","180.0"
"R26","198.999999mm","-74.0375mm","top","90.0"
"R10","198.71mm","-102.07mm","top","-90.0"
"R6","194.36mm","-124.32mm","top","0.0"
"C34","146.375mm","-120.6mm","top","-90.0"
"C23","195.04mm","-126.35mm","top","180.0"
"C65","155.273571mm","-135.62mm","top","90.0"
"P9","187.81mm","-94.44mm","top","-90.0"
"C42","152.01mm","-117.37mm","top","90.0"
"C20","154.3825mm","-94.42mm","top","90.0"
"D11","198.320001mm","-126.02mm","top","-90.0"
"C63","138.06mm","-125.42mm","top","0.0"
"C44","154.725mm","-123.825mm","top","180.0"
"P4","197.69mm","-128.52mm","top","0.0"
"C48","159.79mm","-73.34mm","top","90.0"
"Q16","194.48mm","-121.4875mm","top","270.0"
"C19","154.3mm","-98.3mm","top","180.0"
"C8","192.89mm","-99.83mm","top","90.0"
"C56","177.36mm","-73.36mm","top","90.0"
"R74","174.8mm","-77.3mm","top","90.0"
"SW4","134.77mm","-145.36mm","top","-90.0"
"R60","165mm","-91.5mm","top","180.0"
"C58","183.76mm","-73.36mm","top","90.0"
"R50","140.87mm","-122.82mm","top","180.0"
"R58","155.25mm","-77.3mm","top","90.0"
"R35","149.56mm","-117.4mm","top","-90.0"
"R81","184mm","-77.3mm","top","-90.0"
"U8","195.53mm","-78.195001mm","top","90.0"
"C38","142.21mm","-73.345mm","top","90.0"
"R93","160.46mm","-117.37mm","top","90.0"
"C10","168.673571mm","-138.83mm","top","0.0"
"R76","176.1mm","-77.3mm","top","90.0"
"P10","125.81mm","-96.98mm","top","-90.0"
"R75","177.4mm","-77.29mm","top","90.0"
"R88","134.36mm","-142.63mm","top","180.0"
"R38","134.5mm","-77.3mm","top","90.0"
"R34","150.775mm","-117.4mm","top","-90.0"
"C41","139.9mm","-77.3mm","top","90.0"
"C59","182.65mm","-77.3mm","top","90.0"
"R63","163.15mm","-77.3mm","top","-90.0"
"R52","162.85mm","-92.25mm","top","-90.0"
"R77","181.085mm","-91.5mm","top","0.0"
"U9","148.575mm","-120.9mm","top","90.0"
"R54","156.81mm","-117.37mm","top","-90.0"
"C74","141.503571mm","-135.32mm","top","180.0"
"R61","164.35mm","-93.75mm","top","90.0"
"C40","141.2mm","-77.3mm","top","90.0"
"R25","191.61mm","-82.12mm","top","90.0"
"C18","150.05mm","-125.62mm","top","180.0"
"R67","162.875mm","-123.325mm","top","-90.0"
"C75","140.273571mm","-145.98mm","top","-90.0"
"R5","178.6mm","-122.39mm","top","180.0"
"R12","195.620001mm","-95.72mm","top","90.0"
"R73","161.66mm","-117.42mm","top","-90.0"
"R44","138.55mm","-77.3mm","top","-90.0"
"R7","181.71mm","-120.93mm","top","180.0"
"U1","170.325mm","-120.595mm","top","180.0"
"R27","125.85mm","-91.57mm","top","180.0"
"R46","137.2mm","-77.3mm","top","-90.0"
"P13","195.15mm","-128.52mm","top","0.0"
"R48","129.46mm","-98.07mm","top","180.0"
"R2","179.459998mm","-116.465002mm","top","-90.0"
"L1","156.173571mm","-145.47mm","top","180.0"
"C55","174.16mm","-73.36mm","top","90.0"
"R31","130.28mm","-77.3mm","top","-90.0"
"R53","153.21mm","-117.37mm","top","-90.0"
"C33","145.96mm","-117.42mm","top","90.0"
"D1","192.64mm","-94.0725mm","top","-90.0"
"C64","138.51mm","-135.32mm","top","180.0"
"D9","134.35mm","-141.01mm","top","0.0"
"C62","140.87mm","-125.42mm","top","0.0"
"C51","160.5mm","-77.3mm","top","90.0"
"R66","157.8625mm","-77.3mm","top","-90.0"
"R47","156.825mm","-123.325mm","top","-90.0"
"CYA0650-68UH2","195.120001mm","-87.12mm","top","0.0"
"R49","156.825mm","-120.325mm","top","-90.0"
"R11","133mm","-144.82mm","top","-90.0"
"R56","153.95mm","-77.3mm","top","90.0"
"C26","194.899999mm","-69.1075mm","top","180.0"
"R33","148.36mm","-117.42mm","top","90.0"
"D8","196.41mm","-82.12mm","top","0.0"
"R82","180.05mm","-77.3mm","top","-90.0"
